,Mã đơn hàng,Tình trạng thanh toán,Tổng tiền,Tổng cộng,Số lượng sản phẩm,Tên sản phẩm,Giá sản phẩm,Phương thức thanh toán
85,#100038,Chờ xử lý,4740000,4740000,3,Đậu Hà,57000,Chuyển khoản qua ngân hàng
86,#100038,Chờ xử lý,4740000,4740000,2,Ngô ngọt,57000,Chuyển khoản qua ngân hàng
87,#100038,Chờ xử lý,4740000,4740000,3,Rau chân,57000,Chuyển khoản qua ngân hàng
88,#100038,Chờ xử lý,4740000,4740000,3,Thịt heo,67000,Chuyển khoản qua ngân hàng
89,#100038,Chờ xử lý,4740000,4740000,3,Thịt Gà,67000,Chuyển khoản qua ngân hàng
90,#100038,Chờ xử lý,4740000,4740000,3,Thịt bê,67000,Chuyển khoản qua ngân hàng
91,#100038,Chờ xử lý,4740000,4740000,3,Cá tuyết,67000,Chuyển khoản qua ngân hàng
92,#100038,Chờ xử lý,4740000,4740000,3,Gà Tây,67000,Chuyển khoản qua ngân hàng
93,#100038,Chờ xử lý,4740000,4740000,3,thịt bò,67000,Chuyển khoản qua ngân hàng
94,#100038,Chờ xử lý,4740000,4740000,3,Mận nghiền,57000,Chuyển khoản qua ngân hàng
95,#100037,Đã thanh toán,981000,1016000,1,Pop 1,750000,Thanh toán khi giao hàng (COD)
96,#100037,Đã thanh toán,981000,1016000,1,Lê Bio,77000,Thanh toán khi giao hàng (COD)
97,#100037,Đã thanh toán,981000,1016000,1,Đào Bio,77000,Thanh toán khi giao hàng (COD)
98,#100037,Đã thanh toán,981000,1016000,1,Mơ nghiền,77000,Thanh toán khi giao hàng (COD)
99,#100037,Đã thanh toán,981000,1016000,1,Cá tuyết,0,Thanh toán khi giao hàng (COD)
100,#100032,Đã thanh toán,7078000,7078000,1,Pop 1,650000,Chuyển khoản qua ngân hàng
101,#100032,Đã thanh toán,7078000,7078000,2,Pop 2,650000,Chuyển khoản qua ngân hàng
102,#100032,Đã thanh toán,7078000,7078000,3,Pop 3,630000,Chuyển khoản qua ngân hàng
103,#100032,Đã thanh toán,7078000,7078000,1,EM3,650000,Chuyển khoản qua ngân hàng
104,#100032,Đã thanh toán,7078000,7078000,36,Chuối Bio,57000,Chuyển khoản qua ngân hàng
105,#100032,Đã thanh toán,7078000,7078000,8,Cá tuyết,67000,Chuyển khoản qua ngân hàng
106,#100030,Đã thanh toán,1600000,1600000,2,EM3,800000,Thanh toán khi giao hàng (COD)
107,#100029,Đã thanh toán,1600000,1600000,2,EM3,800000,Thanh toán khi giao hàng (COD)
108,#100028,Chờ xử lý,22500000,22500000,6,Pop 1,770000,Chuyển khoản qua ngân hàng
109,#100028,Chờ xử lý,22500000,22500000,6,Pop 2,750000,Chuyển khoản qua ngân hàng
110,#100028,Chờ xử lý,22500000,22500000,12,Pop 3,730000,Chuyển khoản qua ngân hàng
111,#100028,Chờ xử lý,22500000,22500000,6,EM3,770000,Chuyển khoản qua ngân hàng
112,#100027,Đã thanh toán,3780000,3780000,6,Pop 3,630000,Chuyển khoản qua ngân hàng
113,#100025,Chờ xử lý,14040000,10249200,6,Pop 1,800000,Chuyển khoản qua ngân hàng
114,#100025,Chờ xử lý,14040000,10249200,6,Pop 2,780000,Chuyển khoản qua ngân hàng
115,#100025,Chờ xử lý,14040000,10249200,6,Pop 3,760000,Chuyển khoản qua ngân hàng
116,#100021,Chờ xử lý,10249200,10249200,6,Pop 1,584000,Chuyển khoản qua ngân hàng
117,#100021,Chờ xử lý,10249200,10249200,6,Pop 2,569400,Chuyển khoản qua ngân hàng
118,#100021,Chờ xử lý,10249200,10249200,6,Pop 3,554800,Chuyển khoản qua ngân hàng
119,#100020,Chờ xử lý,7008000,7008000,6,EM1,584000,Chuyển khoản qua ngân hàng
120,#100020,Chờ xử lý,7008000,7008000,6,EM2,584000,Chuyển khoản qua ngân hàng
121,#100019,Chờ xử lý,3780000,3780000,6,EM3,630000,Chuyển khoản qua ngân hàng
