time,us_dollar,rolling_mean,rev_rolling_mean
2004-09-03,1.2175,1.2160533333333334,0.8223323538441296
2004-09-06,1.2071,1.2157466666666668,0.8225397835075289
2004-09-07,1.2079,1.2154500000000001,0.8227405487679459
2004-09-08,1.2039,1.2154666666666667,0.822729267222466
2004-09-09,1.2191,1.216016666666667,0.8223571497101189
2004-09-10,1.2219,1.2166166666666667,0.8219515870515226
2004-09-13,1.2236,1.21722,0.8215441744302592
2004-09-14,1.2237,1.2179366666666667,0.821060755759057
2004-09-15,1.2238,1.2187866666666665,0.8204881357415573
2004-09-16,1.2158,1.2191733333333332,0.8202279139963692
2004-09-17,1.2211,1.2196633333333333,0.8198983872598723
2004-09-20,1.2132,1.2192800000000001,0.8201561577324321
2004-09-21,1.2276,1.21927,0.8201628843488317
2004-09-22,1.2245,1.2193100000000001,0.8201359785452427
2004-09-23,1.2315,1.2195066666666667,0.8200037173501853
2004-09-24,1.2309,1.2198066666666667,0.8198020451328353
2004-09-27,1.2254,1.21953,0.8199880281747887
2004-09-28,1.2335,1.2195200000000002,0.8199947520335868
2004-09-29,1.2323,1.2194933333333333,0.8200126828628282
2004-09-30,1.2409,1.2196600000000002,0.819900628043881
2004-10-01,1.2413,1.2200600000000001,0.8196318213858333
2004-10-04,1.2305,1.2202433333333333,0.819508677231044
2004-10-05,1.2304,1.2207933333333332,0.819139466685598
2004-10-06,1.2282,1.2214633333333333,0.8186901503388012
2004-10-07,1.2301,1.2221333333333333,0.8182413266419376
2004-10-08,1.2315,1.2228999999999999,0.8177283506419168
2004-10-11,1.2392,1.2240499999999999,0.8169600914995303
2004-10-12,1.2312,1.2247200000000003,0.8165131621921744
2004-10-13,1.2267,1.22505,0.8162932125219379
2004-10-14,1.2377,1.2257333333333333,0.8158381377134777
2004-10-15,1.2414,1.22653,0.8153082272753215
2004-10-18,1.2474,1.2278733333333334,0.8144162535766447
2004-10-19,1.2509,1.2293066666666665,0.8134666695589927
2004-10-20,1.259,1.2311433333333333,0.8122531088987743
2004-10-21,1.2606,1.2325266666666665,0.811341471989788
2004-10-22,1.2606,1.2338166666666666,0.8104931851031353
2004-10-25,1.2792,1.23567,0.8092775579240412
2004-10-26,1.2784,1.2374933333333333,0.8080851614015429
2004-10-27,1.2792,1.2393399999999999,0.8068810818661546
2004-10-28,1.2711,1.2411833333333333,0.8056827489895396
2004-10-29,1.2737,1.2429366666666666,0.8045462225213943
2004-11-01,1.2748,1.24499,0.8032193029662889
2004-11-02,1.2705,1.24642,0.8022977808443381
2004-11-03,1.2754,1.2481166666666668,0.8012071521091778
2004-11-04,1.2874,1.24998,0.8000128002048033
2004-11-05,1.2856,1.2518033333333334,0.7988475292977331
2004-11-08,1.2917,1.2540133333333332,0.7974396869783417
2004-11-09,1.2911,1.2559333333333333,0.7962206061892881
2004-11-10,1.2977,1.2581133333333334,0.7948409523254396
2004-11-11,1.289,1.2597166666666666,0.7938293002394718
2004-11-12,1.2921,1.26141,0.7927636533720203
2004-11-15,1.2955,1.2635766666666666,0.7914042941597002
2004-11-16,1.2971,1.2658,0.7900142202559646
2004-11-17,1.3026,1.26828,0.78846942315577
2004-11-18,1.3024,1.2706899999999999,0.7869740062485737
2004-11-19,1.302,1.2730400000000002,0.7855212719160434
2004-11-22,1.3033,1.2751766666666666,0.7842050643963059
2004-11-23,1.3089,1.2777666666666667,0.7826155010043565
2004-11-24,1.3146,1.2806966666666666,0.7808250197158318
2004-11-25,1.3213,1.2834833333333333,0.7791297121115713
2004-11-26,1.3238,1.28623,0.7774659275557249
2004-11-29,1.3247,1.2888066666666667,0.7759115667723631
2004-11-30,1.3295,1.2914266666666667,0.7743374252764385
2004-12-01,1.3294,1.2937733333333334,0.7729329197283398
2004-12-02,1.3314,1.2961333333333331,0.7715255632136613
2004-12-03,1.33,1.2984466666666667,0.7701510009395842
2004-12-06,1.3435,1.30059,0.7688818151761894
2004-12-07,1.3456,1.30283,0.7675598504793412
